Product Name,SKU,Quantity
"Particulars","1-Mar-2026 to 9-Sep-2026","0"
"UGREEN 2IN1 CTOC 100W CABLE US561","000006978","0"
"UGREEN 500W DESKTOP CHARGER X759","000008692","0"
"UGREEN 6IN1 USBC HUB CM512 45320","000008573","0"
"UGREEN CAR CHARGER 50W CD213","000008588","0"
"UGREEN CAR CHARGER 75W EC601","000008061","0"
"UGREEN CAR TRUNK ORGANIZER 55L LP256","000007205","0"
"UGREEN CAT6 U/UTP LAN CABLE 10M 20164","000008569","0"
"UGREEN C ONE 2 CONVERTOR CM232","000006660","0"
"UGREEN C TO USB A ADAPTOR US173","00917","0"
"U GREEN GAN 200W 6 PORT CD271","000007904","0"
"UGREEN GAN 65W 3P CHARGER CD296","000003444","0"
"UGREEN GRAVITY CAR PHONE HOLDER LP200","000007203","0"
"UGREEN HITUNE ANC HEADPHONES UGHP203","000006853","0"
"UGREEN MAGFLOW AIR MAG WL PB 10K 30W PB570","000002624","0"
"UGREEN MAGFLOW AIR MAG WL PB 5K 20W PB580 (000009161)","7 PCS","130"
"UGREEN MAGFLOW MAG WL PB 10K 30W PB773","000008774","0"
"UGREEN MAGFLOW MAG WL PB 20K 45W PB775","000009326","0"
"UGREEN NEXODE 300W 5P CHARGER CD333","000006658","0"
"UGREEN NEXODE FAST CHARGE PB 20K 145W PB551","000007347","0"
"UGREEN NEXODE PRO PB 10K 55W PB727","000008912","0"
"UGREEN PB 20K 165W PB726","000008775","0"
"UGREEN PHONE METAL MOBILE STAND LP263","000007348","0"
"UGREEN POWERSTARION 600W GS600","000007832","0"
"UGREEN POWERSTRIP 20W 3 PORT CD286","000004984","0"
"UGREEN POWERSTRIP D. CUBE 65W 4 PORT CD268","00161","0"
"UGREEN ROBOT CABLE CTC L509 3M (000006659)","9 PCS","37"
"UGREEN SELFIE STICK LP680 15609","000007204","0"
"UGREEN USBC 5IN2 MULTIFUNCTIONAL ADAPTER (60559)","00919","0"
"UGREEN USBC ADAPTER CM511 15596","000008574","0"
"UGREEN USB C TO 3.5MM AUDIO ADAPTOR 30633","000006382","0"
"UGREEN USB C TO C CABLE L531","000008585","0"
"UGREEN USB C TO OTG CABLE 30701","000006381","0"
"UGREEN VERTICAL MOUSE MU008 25444","000008577","0"
"Grand Total","170 PCS","0"
