Product Name,SKU,Quantity,Status
Particulars,1-Mar-2026 to 9-Sep-2026,0,pending
UGREEN 2IN1 CTOC 100W CABLE US561,000006978,0,pending
UGREEN 500W DESKTOP CHARGER X759,000008692,0,pending
UGREEN 6IN1 USBC HUB CM512 45320,000008573,0,pending
UGREEN CAR CHARGER 50W CD213,000008588,0,pending
UGREEN CAR CHARGER 75W EC601,000008061,0,pending
UGREEN CAR TRUNK ORGANIZER 55L LP256,000007205,0,pending
UGREEN CAT6 U/UTP LAN CABLE 10M 20164,000008569,0,pending
UGREEN C ONE 2 CONVERTOR CM232,000006660,0,pending
UGREEN C TO USB A ADAPTOR US173,00917,0,pending
U GREEN GAN 200W 6 PORT CD271,000007904,0,pending
UGREEN GAN 65W 3P CHARGER CD296,000003444,0,pending
UGREEN GRAVITY CAR PHONE HOLDER LP200,000007203,0,pending
UGREEN HITUNE ANC HEADPHONES UGHP203,000006853,0,pending
UGREEN MAGFLOW AIR MAG WL PB 10K 30W PB570,000002624,0,pending
UGREEN MAGFLOW AIR MAG WL PB 5K 20W PB580 (000009161),7 PCS,130,pending
UGREEN MAGFLOW MAG WL PB 10K 30W PB773,000008774,0,pending
UGREEN MAGFLOW MAG WL PB 20K 45W PB775,000009326,0,pending
UGREEN NEXODE 300W 5P CHARGER CD333,000006658,0,pending
UGREEN NEXODE FAST CHARGE PB 20K 145W PB551,000007347,0,pending
UGREEN NEXODE PRO PB 10K 55W PB727,000008912,0,pending
UGREEN PB 20K 165W PB726,000008775,0,pending
UGREEN PHONE METAL MOBILE STAND LP263,000007348,0,pending
UGREEN POWERSTARION 600W GS600,000007832,0,pending
UGREEN POWERSTRIP 20W 3 PORT CD286,000004984,0,pending
UGREEN POWERSTRIP D. CUBE 65W 4 PORT CD268,00161,0,pending
UGREEN ROBOT CABLE CTC L509 3M (000006659),9 PCS,37,pending
UGREEN SELFIE STICK LP680 15609,000007204,0,pending
UGREEN USBC 5IN2 MULTIFUNCTIONAL ADAPTER (60559),00919,0,pending
UGREEN USBC ADAPTER CM511 15596,000008574,0,pending
UGREEN USB C TO 3.5MM AUDIO ADAPTOR 30633,000006382,0,pending
UGREEN USB C TO C CABLE L531,000008585,0,pending
UGREEN USB C TO OTG CABLE 30701,000006381,0,pending
UGREEN VERTICAL MOUSE MU008 25444,000008577,0,pending
Grand Total,170 PCS,0,pending
